MODEL YEAR,DIVISION,CARLINE,ENG DISPL,# CYL,CITY FE,HWY FE,COMB FE
2016,BENTLEY,CONTINENTAL GT CONVERTIBLE,4.0,8,14,24,17
2016,BENTLEY,CONTINENTAL GT CONVERTIBLE,6.0,12,12,20,15
2016,BMW,228I,2.0,4,23,35,27
2016,BMW,228I,2.0,4,22,34,26
2016,ALFA ROMEO,4C,1.8,4,24,34,28
2016,CHEVROLET,SONIC,1.8,4,24,35,28
2016,CHEVROLET,SONIC,1.8,4,26,35,30
2016,CHEVROLET,SONIC RS,1.4,4,25,33,28
2016,CHEVROLET,SONIC RS,1.4,4,27,34,30
2016,SUBARU,IMPREZA SPORT,2.0,4,24,33,28
2016,SUBARU,IMPREZA WAGON,2.0,4,28,37,31
2016,SUBARU,IMPREZA WAGON,2.0,4,25,34,28
2016,VOLKSWAGEN,GOLF SPORTWAGEN,1.8,4,25,35,29
2016,VOLKSWAGEN,GOLF SPORTWAGEN,1.8,4,25,36,29
2016,VOLVO,V60 AWD,2.0,4,22,31,25
2016,VOLVO,V60 AWD,2.5,5,20,29,23
2016,VOLVO,V60 AWD,3.0,6,18,27,21
2016,VOLVO,V60 FWD,2.0,4,25,37,29
2016,VOLVO,V60 POLESTAR AWD,3.0,6,18,27,21
2016,VOLVO,V60CC AWD,2.5,5,20,28,23
2016,MERCEDES-BENZ,AMG E 63 S 4MATIC (STAT. WAGON),5.5,8,15,21,18
2016,MERCEDES-BENZ,AMG GLA 45 4MATIC,2.0,4,22,29,25
2016,MERCEDES-BENZ,E 350 4MATIC (WAGON),3.5,6,20,27,22
2016,MERCEDES-BENZ,GLA 250,2.0,4,25,35,29
2016,NISSAN,MURANO AWD,3.5,6,21,28,24
2016,NISSAN,MURANO FWD,3.5,6,21,28,24
2016,NISSAN,MURANO HYBRID AWD,2.5,4,26,30,28
2016,NISSAN,MURANO HYBRID FWD,2.5,4,28,31,29
2016,TOYOTA,PRIUS V,1.8,4,44,40,42
2016,CHEVROLET,COLORADO 2WD,2.5,4,20,27,22
2016,CHEVROLET,COLORADO 2WD,2.5,4,19,26,22
2016,CHEVROLET,COLORADO 2WD,2.8,4,22,31,25
2016,CHEVROLET,COLORADO 2WD,3.6,6,18,26,21
2016,BMW,228I CONVERTIBLE,2.0,4,23,34,27
2016,BMW,228I XDRIVE,2.0,4,23,35,27
2016,BMW,535I XDRIVE,3.0,6,20,29,23
2016,FORD,FIESTA ST FWD,1.6,4,26,33,29
2016,ASTON MARTIN LAGONDA LTD,V12 VANTAGE S,6.0,12,12,18,14
2016,NISSAN,ALTIMA SR,2.5,4,26,37,30
2016,FORD,FOCUS FWD,1.0,3,28,40,32
2016,FORD,FOCUS FWD,1.0,3,30,42,35
2016,GMC,CANYON 2WD,2.5,4,20,27,22
2016,GMC,CANYON 2WD,2.5,4,19,26,22
2016,GMC,CANYON 2WD,2.8,4,22,31,25
2016,CHEVROLET,EQUINOX FWD,2.4,4,22,32,26
2016,BMW,550I,4.4,8,17,25,20
2016,BMW,550I XDRIVE,4.4,8,16,25,19
2016,CHEVROLET,EQUINOX FWD,2.4,4,22,32,26
2016,CHEVROLET,EQUINOX FWD,3.6,6,17,24,20
2016,ASTON MARTIN LAGONDA LTD,V8 VANTAGE,4.7,8,14,21,16
2016,ASTON MARTIN LAGONDA LTD,V8 VANTAGE,4.7,8,13,19,15
2016,ASTON MARTIN LAGONDA LTD,V8 VANTAGE S,4.7,8,14,21,16
2016,ASTON MARTIN LAGONDA LTD,V8 VANTAGE S,4.7,8,13,19,15
2016,ASTON MARTIN LAGONDA LTD,VANTAGE GT,4.7,8,14,21,16
2016,NISSAN,MAXIMA,3.5,6,22,30,25
2016,NISSAN,SENTRA,1.8,4,29,38,32
2016,BMW,228I XDRIVE CONVERTIBLE,2.0,4,22,34,26
2016,FORD,FOCUS FWD,2.0,4,27,40,31
2016,GMC,CANYON 2WD,3.6,6,18,26,21
2016,NISSAN,FRONTIER 2WD,2.5,4,17,23,19
2016,NISSAN,FRONTIER 2WD,2.5,4,19,23,21
2016,NISSAN,FRONTIER 2WD,4.0,6,16,22,18
2016,FORD,FOCUS FWD,2.0,4,26,38,30
2016,ASTON MARTIN LAGONDA LTD,VANTAGE GT,4.7,8,13,19,15
2016,AUDI,TT ROADSTER QUATTRO,2.0,4,23,30,26
2016,BMW,M4 GTS,3.0,6,16,23,19
2016,BMW,Z4 SDRIVE28I,2.0,4,22,33,26
2016,BMW,ACTIVEHYBRID 5,3.0,6,23,30,26
2016,BMW,M5,4.4,8,14,20,16
2016,BMW,M5,4.4,8,15,22,17
2016,BUICK,LACROSSE,2.4,4,25,36,29
2016,CHEVROLET,TRAX,1.4,4,26,34,29
2016,DODGE,JOURNEY,2.4,4,19,26,21
2016,DODGE,JOURNEY,3.6,6,17,25,19
2016,FIAT,500X,1.4,4,25,34,28
2016,FIAT,500X,2.4,4,22,31,25
2016,FORD,EDGE FWD,2.0,4,20,30,24
2016,FORD,EDGE FWD,2.0,4,21,30,24
2016,FORD,EDGE FWD,3.5,6,18,26,21
2016,FORD,ESCAPE FWD,1.6,4,23,32,26
2016,FORD,ESCAPE FWD,2.0,4,22,30,25
2016,NISSAN,SENTRA,1.8,4,27,36,30
2016,NISSAN,SENTRA FE+,1.8,4,30,40,34
2016,BMW,428I CONVERTIBLE,2.0,4,23,34,27
2016,BMW,428I XDRIVE CONVERTIBLE,2.0,4,21,33,25
2016,BMW,Z4 SDRIVE28I,2.0,4,22,34,26
2016,BUICK,LACROSSE,3.6,6,18,28,22
2016,FORD,FOCUS FWD,2.0,4,26,36,30
2016,NISSAN,FRONTIER 2WD,4.0,6,17,22,19
2016,TOYOTA,TACOMA 2WD,2.7,4,19,23,21
2016,BMW,Z4 SDRIVE35I,3.0,6,17,24,20
2016,BMW,Z4 SDRIVE35IS,3.0,6,17,24,20
2016,CHEVROLET,CORVETTE,6.2,8,13,23,16
2016,FORD,ESCAPE FWD,2.5,4,22,31,25
2016,GMC,TERRAIN FWD,2.4,4,22,32,26
2016,BMW,435I CONVERTIBLE,3.0,6,20,31,24
2016,ROLLS-ROYCE MOTOR CARS LIMITED,WRAITH,6.6,12,13,21,15
2016,BUICK,LACROSSE,3.6,6,18,28,21
2016,FORD,FOCUS FWD FFV,2.0,4,27,40,31
2016,FORD,FOCUS FWD FFV,2.0,4,26,38,30
2016,FORD,FOCUS FWD FFV,2.0,4,26,36,30
2016,HONDA,CIVIC 2DR,1.5,4,31,41,35
2016,HONDA,CIVIC 2DR,2.0,4,30,41,34
2016,HONDA,CIVIC 2DR,2.0,4,26,38,31
2016,HYUNDAI MOTOR COMPANY,ACCENT,1.6,4,26,37,30
2016,HYUNDAI MOTOR COMPANY,ACCENT,1.6,4,27,38,31
2016,SCION,IM,1.8,4,28,37,32
2016,TOYOTA,TACOMA 2WD,3.5,6,19,24,21
2016,CHEVROLET,COLORADO 4WD,2.5,4,19,25,21
2016,CHEVROLET,COLORADO 4WD,2.8,4,20,29,23
2016,CHEVROLET,COLORADO 4WD,3.6,6,17,24,20
2016,GMC,CANYON 4WD,2.5,4,19,25,21
2016,GMC,CANYON 4WD,2.8,4,20,29,23
2016,GMC,CANYON 4WD,3.6,6,17,24,20
2016,NISSAN,FRONTIER 4WD,4.0,6,15,21,17
2016,CHEVROLET,CORVETTE,6.2,8,16,29,20
2016,CHEVROLET,CORVETTE,6.2,8,15,22,18
2016,CHEVROLET,CORVETTE,6.2,8,17,29,21
2016,BMW,435I XDRIVE CONVERTIBLE,3.0,6,20,29,23
2016,GMC,TERRAIN FWD,2.4,4,22,32,26
2016,BUICK,LACROSSE AWD,3.6,6,17,26,20
2016,BUICK,REGAL,2.0,4,21,30,24
2016,BUICK,REGAL,2.0,4,20,31,24
2016,BUICK,REGAL,2.4,4,25,36,29
2016,HYUNDAI MOTOR COMPANY,VELOSTER,1.6,4,27,33,29
2016,HYUNDAI MOTOR COMPANY,VELOSTER,1.6,4,28,36,31
2016,HYUNDAI MOTOR COMPANY,VELOSTER,1.6,4,25,33,28
2016,SCION,IM,1.8,4,27,36,31
2016,SUBARU,LEGACY,2.5,4,26,36,30
2016,SUBARU,LEGACY,3.6,6,20,29,23
2016,TOYOTA,AVALON,3.5,6,21,31,24
2016,TOYOTA,AVALON HYBRID,2.5,4,40,39,40
2016,TOYOTA,CAMRY,2.5,4,25,35,28
2016,TOYOTA,CAMRY,3.5,6,21,31,25
2016,TOYOTA,CAMRY HYBRID LE,2.5,4,43,39,41
2016,HYUNDAI MOTOR COMPANY,VELOSTER,1.6,4,27,35,30
2016,NISSAN,FRONTIER 4WD,4.0,6,16,21,18
2016,DODGE,VIPER SRT,8.4,10,12,21,15
2016,BMW,640I CONVERTIBLE,3.0,6,20,31,24
2016,GMC,TERRAIN FWD,3.6,6,17,24,20
2016,HONDA,CR-V 2WD,2.4,4,26,33,29
2016,HONDA,HR-V 2WD,1.8,4,28,35,31
2016,HONDA,HR-V 2WD,1.8,4,28,35,31
